ano,selecao,codigo,score,fase,fifa_points,pop_milhoes,pibpc_usd,temp_media_c,host,futebol_mainstream
2014,Netherlands,NED,1,grupos,1861.8,19.04,65748.0,10.9,0,0.95
2014,Iran,IRI,1,grupos,1662.2,94.24,5996.0,18.4,0,0.81
2014,Bosnia and Herzegovina,BIH,1,grupos,1485.6,3.61,8415.0,10.6,0,0.71
2014,Colombia,COL,1,grupos,1775.1,58.14,7828.0,24.3,0,0.89
2014,Canada,CAN,1,grupos,1525.7,40.99,60689.0,-0.8,0,0.72
2014,Saudi Arabia,KSA,1,grupos,1516.5,37.65,32728.0,27.2,0,0.7
2014,Serbia,SRB,1,grupos,1633.3,7.35,12270.0,9.6,0,0.8
2014,South Africa,RSA,1,grupos,1468.0,64.57,7510.0,17.0,0,0.7
2014,Chile,CHI,1,grupos,1566.7,21.59,16215.0,14.1,0,0.82
2014,Senegal,SEN,1,grupos,1639.3,18.9,1701.0,26.7,0,0.85
2014,Denmark,DEN,1,grupos,1644.1,6.32,71090.0,9.2,0,0.86
2014,Panama,PAN,1,grupos,1460.5,4.92,18671.0,27.4,0,0.67
2014,Costa Rica,CRC,1,grupos,1578.7,5.53,13086.0,25.9,0,0.69
2018,Netherlands,NED,6,campeao,1834.9,19.47,69656.0,9.5,0,0.95
2018,England,ENG,5,vice,1868.7,61.25,53427.0,8.7,0,0.98
2018,Spain,ESP,4,semifinal,1790.0,51.69,34154.0,15.6,0,0.96
2018,Croatia,CRO,4,semifinal,1731.2,4.45,24219.0,14.2,0,0.92
2018,Ecuador,ECU,3,quartas,1680.8,19.36,7163.0,23.2,0,0.82
2018,Turkey,TUR,3,quartas,1703.8,90.21,13936.0,13.4,0,0.83
2018,Brazil,BRA,3,quartas,1808.3,223.73,12862.0,23.4,0,0.99
2018,Portugal,POR,3,quartas,1841.6,11.29,48398.0,15.1,0,0.95
2018,Belgium,BEL,2,oitavas,1801.8,12.96,62914.0,11.1,0,0.94
2018,Colombia,COL,2,oitavas,1730.8,56.91,8180.0,23.9,0,0.89
2018,Iran,IRI,2,oitavas,1704.7,99.92,5971.0,18.5,0,0.81
2018,South Korea,KOR,2,oitavas,1601.3,56.32,38218.0,12.9,0,0.81
2018,Poland,POL,2,oitavas,1615.7,38.36,21777.0,8.2,0,0.79
2018,Italy,ITA,2,oitavas,1814.5,62.14,41716.0,14.1,0,0.94
2018,Sweden,SWE,2,oitavas,1646.8,10.97,65193.0,3.6,0,0.85
2018,Argentina,ARG,2,oitavas,1848.2,50.87,16332.0,17.4,0,0.96
2018,Japan,JPN,1,grupos,1677.2,141.4,43530.0,15.3,0,0.88
2018,Germany,GER,1,grupos,1822.8,93.33,52872.0,8.2,0,0.97
2018,France,FRA,1,grupos,1937.2,68.41,47077.0,10.2,0,0.98
2018,Uruguay,URU,1,grupos,1779.4,3.76,22895.0,16.2,0,0.93
2018,Scotland,SCO,1,grupos,1647.7,5.97,58697.0,7.8,0,0.77
2018,Mexico,MEX,1,grupos,1722.9,137.96,14577.0,22.9,0,0.88
2018,Saudi Arabia,KSA,1,grupos,1529.6,38.71,33826.0,27.8,0,0.7
2018,Ivory Coast,CIV,1,grupos,1548.1,33.33,2470.0,26.4,0,0.78
2018,Norway,NOR,1,grupos,1554.4,5.8,98064.0,3.1,0,0.83
2018,Tunisia,TUN,1,grupos,1646.9,13.03,4820.0,20.4,0,0.75
2018,Chile,CHI,1,grupos,1688.6,20.78,15577.0,13.0,0,0.82
2018,Senegal,SEN,1,grupos,1652.9,19.33,1912.0,29.2,0,0.85
2018,Egypt,EGY,1,grupos,1607.6,118.91,4530.0,23.1,0,0.77
2018,Morocco,MAR,1,grupos,1702.0,40.24,4025.0,22.8,0,0.88
2018,Paraguay,PAR,1,grupos,1535.9,7.35,7088.0,25.1,0,0.75
2018,Iraq,IRQ,1,grupos,1490.0,47.87,6620.0,22.6,0,0.65
2022,France,FRA,6,campeao,1908.8,74.09,48867.0,11.0,0,0.98
2022,Germany,GER,5,vice,1892.6,89.46,55038.0,8.9,0,0.97
2022,Mexico,MEX,4,semifinal,1654.0,139.98,14905.0,20.2,0,0.88
2022,England,ENG,4,semifinal,1806.4,62.56,58723.0,8.2,0,0.98
2022,Argentina,ARG,3,quartas,1951.8,48.95,14414.0,14.8,0,0.96
2022,Brazil,BRA,3,quartas,1933.7,237.15,12476.0,24.3,0,0.99
2022,United States,USA,3,quartas,1826.8,376.47,81567.0,11.7,0,0.86
2022,Portugal,POR,3,quartas,1751.2,11.82,42462.0,16.6,0,0.95
2022,Spain,ESP,2,oitavas,1894.7,52.35,29175.0,14.3,0,0.96
2022,Tunisia,TUN,2,oitavas,1619.2,13.53,4724.0,20.2,0,0.75
2022,Italy,ITA,2,oitavas,1797.1,63.5,43372.0,12.7,0,0.94
2022,South Korea,KOR,2,oitavas,1643.1,56.55,38189.0,10.9,0,0.81
2022,Netherlands,NED,2,oitavas,1834.1,19.05,74599.0,9.7,0,0.95
2022,Turkey,TUR,2,oitavas,1716.3,88.62,14145.0,15.0,0,0.83
2022,Denmark,DEN,2,oitavas,1694.1,6.41,80564.0,7.4,0,0.86
2022,Scotland,SCO,2,oitavas,1549.0,5.8,60388.0,8.1,0,0.77
2022,Uruguay,URU,1,grupos,1862.3,3.75,24002.0,16.2,0,0.93
2022,Croatia,CRO,1,grupos,1752.7,4.11,28704.0,14.1,0,0.92
2022,Norway,NOR,1,grupos,1664.7,6.04,107046.0,3.7,0,0.83
2022,Ecuador,ECU,1,grupos,1650.3,19.79,7825.0,22.3,0,0.82
2022,Sweden,SWE,1,grupos,1691.8,11.86,56504.0,4.0,0,0.85
2022,Bosnia and Herzegovina,BIH,1,grupos,1549.0,3.4,7953.0,9.5,0,0.71
2022,Iran,IRI,1,grupos,1643.5,93.19,6593.0,17.6,0,0.81
2022,New Zealand,NZL,1,grupos,1526.3,5.8,53618.0,11.1,0,0.68
2022,Saudi Arabia,KSA,1,grupos,1522.4,37.96,32965.0,27.7,0,0.7
2022,Czechia,CZE,1,grupos,1660.0,12.03,29698.0,7.3,0,0.78
2022,Ghana,GHA,1,grupos,1631.0,35.42,2828.0,26.8,0,0.78
2022,Qatar,QAT,1,grupos,1556.2,3.2,87338.0,28.5,1,0.7
2022,Iraq,IRQ,1,grupos,1500.9,46.92,6846.0,21.7,0,0.65
2022,Egypt,EGY,1,grupos,1540.0,126.54,4290.0,23.6,0,0.77
2022,Peru,PER,1,grupos,1502.3,36.18,9682.0,19.4,0,0.73
2022,Cape Verde,CPV,1,grupos,1446.9,0.65,4644.0,24.4,0,0.64
